Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
"Egypt, Arab Rep.",EGY,2020,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,6.3
"Egypt, Arab Rep.",EGY,2016,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,4.9
"Egypt, Arab Rep.",EGY,2013,Firms with female top manager (% of firms),IC.FRM.FEMM.ZS,7.1
"Egypt, Arab Rep.",EGY,2020,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,5.2
"Egypt, Arab Rep.",EGY,2016,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,17.8
"Egypt, Arab Rep.",EGY,2013,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,16.1
"Egypt, Arab Rep.",EGY,2008,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,34
"Egypt, Arab Rep.",EGY,2007,Firms with female participation in ownership (% of firms),IC.FRM.FEMO.ZS,20.9
"Egypt, Arab Rep.",EGY,2022,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,91.73999786
"Egypt, Arab Rep.",EGY,2017,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,87
"Egypt, Arab Rep.",EGY,2013,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,90
"Egypt, Arab Rep.",EGY,2012,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,86
"Egypt, Arab Rep.",EGY,2010,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,84
"Egypt, Arab Rep.",EGY,2006,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,82
"Egypt, Arab Rep.",EGY,2005,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,79
"Egypt, Arab Rep.",EGY,2000,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,77.19000244
"Egypt, Arab Rep.",EGY,1996,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,67
"Egypt, Arab Rep.",EGY,1986,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,54
"Egypt, Arab Rep.",EGY,1976,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,38
"Egypt, Arab Rep.",EGY,2022,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,0.98943001
"Egypt, Arab Rep.",EGY,2017,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
"Egypt, Arab Rep.",EGY,2013,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
"Egypt, Arab Rep.",EGY,2012,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
"Egypt, Arab Rep.",EGY,2010,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
"Egypt, Arab Rep.",EGY,2006,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
"Egypt, Arab Rep.",EGY,2005,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
"Egypt, Arab Rep.",EGY,1996,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
"Egypt, Arab Rep.",EGY,1986,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
"Egypt, Arab Rep.",EGY,1976,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,1
